Metric ID,Metric Description,Grouping Level,Grouping Description,Region or Coverage Category,Age Inpatient Type,Year,Quarter,Numerator,Denominator,Rate,YTD Numerator,YTD Denominator,YTD Rate
4,30-Day MH Readmission,1,STATEWIDE,STATEWIDE,Adult-Art28 and 31,2021,Q1,1489,10374,0.143531907,1489,10374,0.143531907
4,30-Day MH Readmission,1,STATEWIDE,STATEWIDE,Adult-Art28 and 31,2021,Q2,1665,11183,0.148886703,3154,21557,0.146309783
4,30-Day MH Readmission,1,STATEWIDE,STATEWIDE,Adult-Art28 and 31,2021,Q3,1553,10678,0.145439221,4707,32235,0.146021405
4,30-Day MH Readmission,1,STATEWIDE,STATEWIDE,Adult-Art28 and 31,2021,Q4,1369,9778,0.140008182,6076,42013,0.144621903
4,30-Day MH Readmission,1,STATEWIDE,STATEWIDE,Youth-Art28 and 31,2021,Q1,276,2580,0.106976744,276,2580,0.106976744
4,30-Day MH Readmission,1,STATEWIDE,STATEWIDE,Youth-Art28 and 31,2021,Q2,262,2795,0.093738819,538,5375,0.100093023
4,30-Day MH Readmission,1,STATEWIDE,STATEWIDE,Youth-Art28 and 31,2021,Q3,259,2512,0.103105096,797,7887,0.101052365
4,30-Day MH Readmission,1,STATEWIDE,STATEWIDE,Youth-Art28 and 31,2021,Q4,263,2884,0.091192788,1060,10771,0.098412404
4,30-Day MH Readmission,2,COVERAGE CATEGORY,FFS,Adult-Art28 and 31,2021,Q1,291,2058,0.141399417,291,2058,0.141399417
4,30-Day MH Readmission,2,COVERAGE CATEGORY,FFS,Adult-Art28 and 31,2021,Q2,304,2190,0.138812785,595,4248,0.140065913
4,30-Day MH Readmission,2,COVERAGE CATEGORY,FFS,Adult-Art28 and 31,2021,Q3,271,1992,0.136044177,866,6240,0.138782051
4,30-Day MH Readmission,2,COVERAGE CATEGORY,FFS,Adult-Art28 and 31,2021,Q4,230,1749,0.131503716,1096,7989,0.137188634
4,30-Day MH Readmission,2,COVERAGE CATEGORY,FFS,Youth-Art28 and 31,2021,Q1,42,319,0.131661442,42,319,0.131661442
4,30-Day MH Readmission,2,COVERAGE CATEGORY,FFS,Youth-Art28 and 31,2021,Q2,49,379,0.129287599,91,698,0.130372493
4,30-Day MH Readmission,2,COVERAGE CATEGORY,FFS,Youth-Art28 and 31,2021,Q3,34,280,0.121428571,125,978,0.127811861
4,30-Day MH Readmission,2,COVERAGE CATEGORY,FFS,Youth-Art28 and 31,2021,Q4,32,287,0.111498258,157,1265,0.124110672
4,30-Day MH Readmission,2,COVERAGE CATEGORY,HARP,Adult-Art28 and 31,2021,Q1,705,3827,0.184217403,705,3827,0.184217403
4,30-Day MH Readmission,2,COVERAGE CATEGORY,HARP,Adult-Art28 and 31,2021,Q2,786,4103,0.191567146,1491,7930,0.188020177
4,30-Day MH Readmission,2,COVERAGE CATEGORY,HARP,Adult-Art28 and 31,2021,Q3,752,4053,0.185541574,2243,11983,0.187181841
4,30-Day MH Readmission,2,COVERAGE CATEGORY,HARP,Adult-Art28 and 31,2021,Q4,648,3619,0.179054988,2891,15602,0.185296757
4,30-Day MH Readmission,2,COVERAGE CATEGORY,HIV SNP,Adult-Art28 and 31,2021,Q1,15,125,0.12,15,125,0.12
4,30-Day MH Readmission,2,COVERAGE CATEGORY,HIV SNP,Adult-Art28 and 31,2021,Q2,13,143,0.090909091,28,268,0.104477612
4,30-Day MH Readmission,2,COVERAGE CATEGORY,HIV SNP,Adult-Art28 and 31,2021,Q3,14,124,0.112903226,42,392,0.107142857
4,30-Day MH Readmission,2,COVERAGE CATEGORY,HIV SNP,Adult-Art28 and 31,2021,Q4,12,136,0.088235294,54,528,0.102272727
4,30-Day MH Readmission,2,COVERAGE CATEGORY,MAINSTREAM,Adult-Art28 and 31,2021,Q1,478,4364,0.109532539,478,4364,0.109532539
4,30-Day MH Readmission,2,COVERAGE CATEGORY,MAINSTREAM,Adult-Art28 and 31,2021,Q2,562,4747,0.118390562,1040,9111,0.114147734
4,30-Day MH Readmission,2,COVERAGE CATEGORY,MAINSTREAM,Adult-Art28 and 31,2021,Q3,516,4509,0.114437791,1556,13620,0.114243759
4,30-Day MH Readmission,2,COVERAGE CATEGORY,MAINSTREAM,Adult-Art28 and 31,2021,Q4,479,4274,0.112073,2035,17894,0.113725271
